,0
107,AdrenalGland
108,Muscle-Skeletal
109,Cells-EBV-transformedlymphocytes
110,Esophagus-Mucosa
111,Brain-FrontalCortex(BA9)
112,Brain-Hypothalamus
113,Brain-Nucleusaccumbens(basalganglia)
114,Artery-Aorta
115,Brain-Hypothalamus
116,Adipose-Subcutaneous
117,Colon-Sigmoid
118,Colon-Transverse
119,Heart-AtrialAppendage
120,Thyroid
121,Esophagus-GastroesophagealJunction
122,Brain-Putamen(basalganglia)
123,Adipose-Visceral(Omentum)
124,Brain-Cerebellum
125,Cells-Leukemiacellline(CML)
126,Uterus
127,Adipose-Visceral(Omentum)
128,Spleen
129,Colon-Sigmoid
130,Heart-AtrialAppendage
131,Brain-Putamen(basalganglia)
132,Ovary
133,Brain-Caudate(basalganglia)
134,Heart-AtrialAppendage
135,Breast-MammaryTissue
136,SmallIntestine-TerminalIleum
137,Skin-SunExposed(Lowerleg)
138,Cells-Transformedfibroblasts
139,Esophagus-Muscularis
140,Brain-Cortex
141,Pancreas
142,Muscle-Skeletal
143,Brain-Putamen(basalganglia)
144,Brain-Spinalcord(cervicalc-1)
145,Vagina
146,Muscle-Skeletal
147,Cells-Leukemiacellline(CML)
148,Thyroid
149,Cells-Transformedfibroblasts
150,Esophagus-Muscularis
151,Brain-Amygdala
152,Nerve-Tibial
153,Skin-NotSunExposed(Suprapubic)
154,Esophagus-GastroesophagealJunction
155,AdrenalGland
156,Artery-Tibial
157,Esophagus-Muscularis
158,Thyroid
159,Adipose-Visceral(Omentum)
160,Skin-NotSunExposed(Suprapubic)
161,Artery-Tibial
162,Artery-Tibial
163,Adipose-Visceral(Omentum)
164,Esophagus-Muscularis
165,Testis
166,Heart-LeftVentricle
167,Muscle-Skeletal
168,Uterus
169,Ovary
170,Heart-LeftVentricle
171,AdrenalGland
172,Skin-SunExposed(Lowerleg)
173,Adipose-Subcutaneous
174,Spleen
175,Esophagus-Mucosa
176,SmallIntestine-TerminalIleum
177,Muscle-Skeletal
178,Testis
179,WholeBlood
180,MinorSalivaryGland
181,Brain-CerebellarHemisphere
182,AdrenalGland
183,Brain-Nucleusaccumbens(basalganglia)
184,Lung
185,Adipose-Subcutaneous
186,Esophagus-Mucosa
187,Skin-SunExposed(Lowerleg)
188,Brain-Hippocampus
189,Esophagus-Muscularis
190,Esophagus-GastroesophagealJunction
191,Skin-SunExposed(Lowerleg)
192,Colon-Transverse
193,Lung
194,Brain-Hypothalamus
195,Skin-SunExposed(Lowerleg)
196,Skin-SunExposed(Lowerleg)
197,Skin-NotSunExposed(Suprapubic)
198,Testis
199,Muscle-Skeletal
200,Brain-Amygdala
201,Esophagus-Muscularis
202,WholeBlood
203,Muscle-Skeletal
204,Lung
205,Prostate
206,WholeBlood
207,Esophagus-Muscularis
208,Adipose-Visceral(Omentum)
209,Adipose-Subcutaneous
210,Prostate
211,Heart-AtrialAppendage
212,Thyroid
213,Stomach
214,Heart-LeftVentricle
215,Stomach
216,AdrenalGland
217,Artery-Tibial
218,Skin-SunExposed(Lowerleg)
219,Artery-Tibial
220,Adipose-Visceral(Omentum)
221,Stomach
222,Heart-AtrialAppendage
223,WholeBlood
224,Cells-Transformedfibroblasts
225,Artery-Aorta
226,Skin-NotSunExposed(Suprapubic)
227,Cells-EBV-transformedlymphocytes
228,Heart-AtrialAppendage
229,Uterus
230,Skin-SunExposed(Lowerleg)
231,Skin-SunExposed(Lowerleg)
232,WholeBlood
233,Nerve-Tibial
234,Artery-Aorta
235,Nerve-Tibial
236,Cells-Leukemiacellline(CML)
237,Pancreas
238,Esophagus-Muscularis
239,Nerve-Tibial
240,Adipose-Subcutaneous
241,Cells-Transformedfibroblasts
242,Brain-Hippocampus
243,Colon-Transverse
244,Muscle-Skeletal
245,Nerve-Tibial
246,Thyroid
247,Thyroid
248,Stomach
249,Adipose-Visceral(Omentum)
250,Muscle-Skeletal
251,Nerve-Tibial
252,Esophagus-Muscularis
253,Skin-SunExposed(Lowerleg)
254,Esophagus-Mucosa
255,SmallIntestine-TerminalIleum
256,Brain-Cortex
257,Adipose-Subcutaneous
258,Liver
259,MinorSalivaryGland
260,Nerve-Tibial
261,Muscle-Skeletal
262,Artery-Tibial
263,Artery-Coronary
264,Esophagus-GastroesophagealJunction
265,Colon-Sigmoid
266,Adipose-Visceral(Omentum)
267,Brain-Caudate(basalganglia)
268,Artery-Coronary
269,Stomach
270,Prostate
271,WholeBlood
272,Thyroid
273,Artery-Tibial
274,Colon-Sigmoid
275,Lung
276,Esophagus-Mucosa
277,Brain-Nucleusaccumbens(basalganglia)
278,Esophagus-Mucosa
279,Adipose-Subcutaneous
280,AdrenalGland
281,Artery-Tibial
282,Skin-SunExposed(Lowerleg)
283,Artery-Aorta
284,Muscle-Skeletal
285,Adipose-Subcutaneous
286,Artery-Tibial
287,Artery-Aorta
288,Esophagus-Mucosa
289,Cells-EBV-transformedlymphocytes
290,Skin-SunExposed(Lowerleg)
291,Skin-SunExposed(Lowerleg)
292,Cells-Transformedfibroblasts
293,Thyroid
294,Muscle-Skeletal
295,Skin-NotSunExposed(Suprapubic)
296,Testis
297,Heart-LeftVentricle
298,Vagina
299,Skin-SunExposed(Lowerleg)
300,Thyroid
301,Adipose-Visceral(Omentum)
302,Brain-Anteriorcingulatecortex(BA24)
303,WholeBlood
304,Colon-Sigmoid
305,WholeBlood
306,Prostate
307,Stomach
308,Skin-SunExposed(Lowerleg)
309,Vagina
310,SmallIntestine-TerminalIleum
311,WholeBlood
312,Thyroid
313,Artery-Aorta
314,Cells-Leukemiacellline(CML)
315,Brain-Caudate(basalganglia)
316,Artery-Tibial
317,Artery-Aorta
318,Heart-LeftVentricle
319,Colon-Sigmoid
320,Artery-Tibial
321,Artery-Tibial
322,Pancreas
323,Artery-Tibial
324,Artery-Aorta
325,Heart-AtrialAppendage
326,Brain-Cerebellum
327,Brain-CerebellarHemisphere
328,Lung
329,Adipose-Visceral(Omentum)
330,Esophagus-Mucosa
331,Esophagus-Mucosa
332,Cells-Transformedfibroblasts
333,Thyroid
334,Lung
335,Nerve-Tibial
336,Liver
337,Nerve-Tibial
338,Esophagus-Mucosa
339,Breast-MammaryTissue
340,Brain-Cerebellum
341,Skin-SunExposed(Lowerleg)
342,Liver
343,Skin-SunExposed(Lowerleg)
344,Pancreas
345,Brain-Cortex
346,Brain-Cerebellum
347,Cells-Transformedfibroblasts
348,Adipose-Subcutaneous
349,Pituitary
350,Esophagus-Muscularis
351,AdrenalGland
352,Uterus
353,Artery-Aorta
354,Nerve-Tibial
355,Pancreas
356,Stomach
357,Heart-AtrialAppendage
358,Cells-EBV-transformedlymphocytes
359,Adipose-Subcutaneous
360,Brain-Cortex
361,Artery-Aorta
362,Lung
363,Esophagus-Muscularis
364,Thyroid
365,Pancreas
366,Cells-EBV-transformedlymphocytes
367,Pancreas
368,Pituitary
369,Artery-Coronary
370,Thyroid
371,Uterus
372,Brain-Spinalcord(cervicalc-1)
373,Esophagus-Mucosa
374,Vagina
375,Artery-Tibial
376,Esophagus-Muscularis
377,Skin-SunExposed(Lowerleg)
378,Brain-CerebellarHemisphere
379,Thyroid
380,Muscle-Skeletal
381,Breast-MammaryTissue
382,Brain-Caudate(basalganglia)
383,Artery-Tibial
384,WholeBlood
385,Cells-Leukemiacellline(CML)
386,Esophagus-Mucosa
387,Testis
388,Pancreas
389,Brain-Cerebellum
390,Adipose-Subcutaneous
391,Spleen
392,Adipose-Visceral(Omentum)
393,Artery-Tibial
394,Prostate
395,Heart-AtrialAppendage
396,Brain-Putamen(basalganglia)
397,Artery-Aorta
398,Cells-Transformedfibroblasts
399,Testis
400,Cells-Transformedfibroblasts
401,Uterus
402,Thyroid
403,Heart-LeftVentricle
404,Skin-SunExposed(Lowerleg)
405,Thyroid
406,Esophagus-Mucosa
407,Ovary
408,Artery-Tibial
409,Ovary
410,Lung
411,WholeBlood
412,Cells-Transformedfibroblasts
413,Brain-Hypothalamus
414,Skin-SunExposed(Lowerleg)
415,Esophagus-GastroesophagealJunction
416,Brain-Hippocampus
417,SmallIntestine-TerminalIleum
418,Liver
419,Muscle-Skeletal
420,Pancreas
421,Muscle-Skeletal
422,Lung
423,Heart-AtrialAppendage
424,Skin-NotSunExposed(Suprapubic)
425,Ovary
426,Skin-SunExposed(Lowerleg)
427,Artery-Tibial
428,Skin-NotSunExposed(Suprapubic)
429,Cells-Transformedfibroblasts
430,Brain-Cortex
431,Artery-Coronary
432,Heart-LeftVentricle
433,Prostate
434,Spleen
435,Artery-Tibial
436,Adipose-Subcutaneous
437,Skin-SunExposed(Lowerleg)
438,Esophagus-GastroesophagealJunction
439,Artery-Coronary
440,Cells-EBV-transformedlymphocytes
441,Vagina
442,WholeBlood
443,Skin-SunExposed(Lowerleg)
444,Pituitary
445,Esophagus-Mucosa
446,Adipose-Subcutaneous
447,AdrenalGland
448,Artery-Tibial
449,Lung
450,Pituitary
451,WholeBlood
452,Artery-Coronary
453,Lung
454,Nerve-Tibial
455,WholeBlood
456,Esophagus-Mucosa
457,Colon-Sigmoid
458,Heart-LeftVentricle
459,Adipose-Visceral(Omentum)
460,Esophagus-Mucosa
461,Skin-NotSunExposed(Suprapubic)
462,Skin-SunExposed(Lowerleg)
463,Ovary
464,Esophagus-Mucosa
465,Thyroid
466,WholeBlood
467,Pituitary
468,Adipose-Subcutaneous
469,Brain-Anteriorcingulatecortex(BA24)
470,Nerve-Tibial
471,Adipose-Visceral(Omentum)
472,Nerve-Tibial
473,Vagina
474,Spleen
475,Skin-SunExposed(Lowerleg)
476,Adipose-Subcutaneous
477,Uterus
478,Brain-Cortex
479,Skin-NotSunExposed(Suprapubic)
480,Cells-Transformedfibroblasts
481,Muscle-Skeletal
482,Muscle-Skeletal
483,Lung
484,Skin-NotSunExposed(Suprapubic)
485,Colon-Transverse
486,Esophagus-Muscularis
487,Thyroid
488,Brain-Caudate(basalganglia)
489,Esophagus-Mucosa
490,Prostate
491,Prostate
492,Testis
493,Muscle-Skeletal
494,AdrenalGland
495,Nerve-Tibial
496,Esophagus-Mucosa
497,Adipose-Subcutaneous
498,Cells-EBV-transformedlymphocytes
499,Lung
500,Esophagus-Muscularis
501,Brain-Spinalcord(cervicalc-1)
502,Thyroid
503,Stomach
504,Thyroid
505,Heart-AtrialAppendage
506,Stomach
507,Spleen
508,Adipose-Subcutaneous
509,Brain-Cortex
510,Artery-Tibial
511,Pancreas
512,Nerve-Tibial
513,Esophagus-Muscularis
514,MinorSalivaryGland
515,Nerve-Tibial
516,Brain-FrontalCortex(BA9)
517,Muscle-Skeletal
518,Adipose-Visceral(Omentum)
519,Lung
520,Brain-FrontalCortex(BA9)
521,Muscle-Skeletal
522,Breast-MammaryTissue
523,Pancreas
524,Lung
525,Nerve-Tibial
526,Esophagus-Muscularis
527,Adipose-Visceral(Omentum)
528,Brain-FrontalCortex(BA9)
529,WholeBlood
530,Esophagus-Muscularis
531,Adipose-Subcutaneous
532,Pancreas
533,Adipose-Subcutaneous
534,Adipose-Subcutaneous
535,Heart-LeftVentricle
536,Brain-FrontalCortex(BA9)
537,Heart-LeftVentricle
538,Brain-Nucleusaccumbens(basalganglia)
539,Testis
540,Ovary
541,Cells-EBV-transformedlymphocytes
542,Breast-MammaryTissue
543,Cells-Leukemiacellline(CML)
544,Heart-LeftVentricle
545,Brain-FrontalCortex(BA9)
546,Brain-Putamen(basalganglia)
547,Spleen
548,Nerve-Tibial
549,Esophagus-Muscularis
550,Artery-Tibial
551,Nerve-Tibial
552,Cells-Transformedfibroblasts
553,Nerve-Tibial
554,Uterus
555,Esophagus-GastroesophagealJunction
556,WholeBlood
557,Uterus
558,Esophagus-GastroesophagealJunction
559,Artery-Coronary
560,Brain-Putamen(basalganglia)
561,WholeBlood
562,Liver
563,Colon-Sigmoid
564,Vagina
565,WholeBlood
566,Testis
567,Brain-Amygdala
568,Brain-Cerebellum
569,Brain-Hippocampus
570,Muscle-Skeletal
571,Skin-SunExposed(Lowerleg)
572,WholeBlood
573,Nerve-Tibial
574,Artery-Tibial
575,Pancreas
576,Esophagus-Muscularis
577,Breast-MammaryTissue
578,WholeBlood
579,Muscle-Skeletal
580,Brain-Cerebellum
581,Breast-MammaryTissue
582,Brain-CerebellarHemisphere
583,Esophagus-GastroesophagealJunction
584,Esophagus-Mucosa
585,Skin-NotSunExposed(Suprapubic)
586,Brain-Caudate(basalganglia)
587,Cells-Transformedfibroblasts
588,Cells-EBV-transformedlymphocytes
589,Thyroid
590,Brain-Caudate(basalganglia)
591,MinorSalivaryGland
592,Thyroid
593,Testis
594,Brain-Cortex
595,Ovary
596,Esophagus-Muscularis
597,Pancreas
598,Heart-AtrialAppendage
599,Cells-Transformedfibroblasts
600,Colon-Transverse
601,Adipose-Subcutaneous
602,Cells-Transformedfibroblasts
603,Muscle-Skeletal
604,Adipose-Visceral(Omentum)
605,Muscle-Skeletal
606,Artery-Aorta
607,Esophagus-GastroesophagealJunction
608,Thyroid
609,Heart-AtrialAppendage
610,Artery-Aorta
611,Skin-SunExposed(Lowerleg)
612,Esophagus-Muscularis
613,Brain-Putamen(basalganglia)
614,Adipose-Visceral(Omentum)
615,Colon-Transverse
616,Brain-Anteriorcingulatecortex(BA24)
617,Brain-FrontalCortex(BA9)
618,Breast-MammaryTissue
619,Brain-Putamen(basalganglia)
620,Adipose-Subcutaneous
621,Pituitary
622,Brain-Cortex
623,Colon-Sigmoid
624,Lung
625,Vagina
626,Brain-Amygdala
627,Artery-Tibial
628,Muscle-Skeletal
629,Spleen
630,Artery-Aorta
631,Skin-SunExposed(Lowerleg)
632,Breast-MammaryTissue
633,Brain-Substantianigra
634,Muscle-Skeletal
635,Brain-Hypothalamus
636,Muscle-Skeletal
637,Artery-Tibial
638,Nerve-Tibial
639,Brain-Substantianigra
640,Skin-NotSunExposed(Suprapubic)
641,Skin-NotSunExposed(Suprapubic)
642,Esophagus-GastroesophagealJunction
643,Artery-Coronary
644,Pancreas
645,Vagina
646,Lung
647,Lung
648,Spleen
649,Spleen
650,Brain-CerebellarHemisphere
651,Artery-Aorta
652,Breast-MammaryTissue
653,Lung
654,Cells-Transformedfibroblasts
655,SmallIntestine-TerminalIleum
656,Heart-AtrialAppendage
657,Esophagus-Muscularis
658,Brain-Hypothalamus
659,Testis
660,Adipose-Subcutaneous
661,Esophagus-Mucosa
662,Breast-MammaryTissue
663,Skin-NotSunExposed(Suprapubic)
664,Pancreas
665,WholeBlood
666,Brain-CerebellarHemisphere
667,Artery-Tibial
668,Nerve-Tibial
669,Skin-SunExposed(Lowerleg)
670,Esophagus-GastroesophagealJunction
671,Lung
672,Adipose-Subcutaneous
673,Spleen
674,Colon-Sigmoid
675,Nerve-Tibial
676,Muscle-Skeletal
677,Artery-Tibial
678,WholeBlood
679,Cells-Transformedfibroblasts
680,Lung
681,Stomach
682,SmallIntestine-TerminalIleum
683,Brain-Cerebellum
684,AdrenalGland
685,Heart-LeftVentricle
686,Skin-NotSunExposed(Suprapubic)
687,Adipose-Subcutaneous
688,Thyroid
689,Heart-LeftVentricle
690,Stomach
691,Muscle-Skeletal
692,Lung
693,Nerve-Tibial
694,Brain-Anteriorcingulatecortex(BA24)
695,Heart-AtrialAppendage
696,Cells-Transformedfibroblasts
697,Muscle-Skeletal
698,Stomach
699,Breast-MammaryTissue
700,Brain-CerebellarHemisphere
701,WholeBlood
702,Brain-Spinalcord(cervicalc-1)
703,Brain-Putamen(basalganglia)
704,Cells-Transformedfibroblasts
705,Artery-Aorta
706,AdrenalGland
707,Esophagus-Muscularis
708,Esophagus-Mucosa
709,Muscle-Skeletal
710,Artery-Aorta
711,Brain-Cerebellum
712,Prostate
713,WholeBlood
714,Pancreas
715,Heart-LeftVentricle
716,Lung
717,Brain-Hippocampus
718,Stomach
719,Uterus
720,Nerve-Tibial
721,Brain-Anteriorcingulatecortex(BA24)
722,Colon-Transverse
723,Muscle-Skeletal
724,Pancreas
725,Thyroid
726,Heart-LeftVentricle
727,Pituitary
728,Muscle-Skeletal
729,Brain-FrontalCortex(BA9)
730,Adipose-Subcutaneous
731,Brain-Putamen(basalganglia)
732,Lung
733,Cells-Leukemiacellline(CML)
734,Brain-Anteriorcingulatecortex(BA24)
735,Muscle-Skeletal
736,Muscle-Skeletal
737,Colon-Transverse
738,Esophagus-Mucosa
739,Pituitary
740,Brain-Putamen(basalganglia)
741,Nerve-Tibial
742,WholeBlood
743,Artery-Tibial
744,SmallIntestine-TerminalIleum
745,Colon-Transverse
746,Brain-Hippocampus
747,Brain-CerebellarHemisphere
748,Breast-MammaryTissue
749,Thyroid
750,WholeBlood
751,Nerve-Tibial
752,Heart-LeftVentricle
753,Colon-Sigmoid
754,Ovary
755,Brain-Nucleusaccumbens(basalganglia)
756,Esophagus-GastroesophagealJunction
757,Ovary
758,Heart-LeftVentricle
759,Thyroid
760,Cells-Transformedfibroblasts
761,Brain-Spinalcord(cervicalc-1)
762,Liver
763,Artery-Tibial
764,Cells-Transformedfibroblasts
765,Pancreas
766,Colon-Sigmoid
767,Skin-NotSunExposed(Suprapubic)
768,WholeBlood
769,Muscle-Skeletal
770,Skin-NotSunExposed(Suprapubic)
771,Colon-Sigmoid
772,Testis
773,Nerve-Tibial
774,Muscle-Skeletal
775,Thyroid
776,Heart-LeftVentricle
777,Pituitary
778,Heart-AtrialAppendage
779,Colon-Sigmoid
780,Brain-Putamen(basalganglia)
781,WholeBlood
782,Muscle-Skeletal
783,Muscle-Skeletal
784,Esophagus-Mucosa
785,WholeBlood
786,Adipose-Subcutaneous
787,Esophagus-Muscularis
788,Esophagus-Mucosa
789,Muscle-Skeletal
790,Artery-Aorta
791,Adipose-Subcutaneous
792,Esophagus-Mucosa
793,Brain-FrontalCortex(BA9)
794,Lung
795,Esophagus-Mucosa
796,Heart-AtrialAppendage
797,Colon-Transverse
798,Lung
799,Skin-NotSunExposed(Suprapubic)
800,Artery-Coronary
801,Artery-Tibial
802,Adipose-Subcutaneous
803,SmallIntestine-TerminalIleum
804,Muscle-Skeletal
805,Colon-Transverse
806,Thyroid
807,Skin-NotSunExposed(Suprapubic)
808,Adipose-Visceral(Omentum)
809,Adipose-Subcutaneous
810,Colon-Transverse
811,Brain-FrontalCortex(BA9)
812,Stomach
813,Heart-AtrialAppendage
814,Thyroid
815,Skin-SunExposed(Lowerleg)
816,Nerve-Tibial
817,Breast-MammaryTissue
818,Brain-Nucleusaccumbens(basalganglia)
819,Testis
820,Adipose-Subcutaneous
821,Cells-EBV-transformedlymphocytes
822,Testis
823,Breast-MammaryTissue
824,Nerve-Tibial
825,Adipose-Visceral(Omentum)
826,Brain-Substantianigra
827,Testis
828,Ovary
829,Artery-Aorta
830,Esophagus-GastroesophagealJunction
831,Skin-SunExposed(Lowerleg)
832,Cells-Transformedfibroblasts
833,Thyroid
834,Adipose-Subcutaneous
835,Esophagus-GastroesophagealJunction
836,Uterus
837,Cells-Leukemiacellline(CML)
838,Adipose-Subcutaneous
839,Adipose-Visceral(Omentum)
840,Nerve-Tibial
841,Stomach
842,Brain-Caudate(basalganglia)
843,Stomach
844,Muscle-Skeletal
845,WholeBlood
846,Esophagus-Mucosa
847,Cells-Leukemiacellline(CML)
848,Nerve-Tibial
849,WholeBlood
850,WholeBlood
851,Testis
852,Heart-LeftVentricle
853,WholeBlood
854,Muscle-Skeletal
855,Cells-Transformedfibroblasts
856,Muscle-Skeletal
857,Brain-Spinalcord(cervicalc-1)
858,Brain-CerebellarHemisphere
859,Brain-Nucleusaccumbens(basalganglia)
860,Vagina
861,Cells-EBV-transformedlymphocytes
862,Pancreas
863,Muscle-Skeletal
864,Brain-Anteriorcingulatecortex(BA24)
865,Brain-Cortex
866,Muscle-Skeletal
867,Cells-Transformedfibroblasts
868,Artery-Tibial
869,Artery-Tibial
870,Esophagus-Mucosa
871,Heart-AtrialAppendage
872,Muscle-Skeletal
873,WholeBlood
874,Artery-Aorta
875,Brain-CerebellarHemisphere
876,Esophagus-Muscularis
877,Skin-SunExposed(Lowerleg)
878,Adipose-Subcutaneous
879,Esophagus-Muscularis
880,Brain-Cerebellum
881,Esophagus-Muscularis
882,Brain-Caudate(basalganglia)
883,Esophagus-Muscularis
884,Liver
885,Artery-Aorta
886,Spleen
887,Esophagus-Muscularis
888,Adipose-Subcutaneous
889,Artery-Tibial
890,Skin-NotSunExposed(Suprapubic)
891,Heart-AtrialAppendage
892,Thyroid
893,Heart-LeftVentricle
894,Brain-Putamen(basalganglia)
895,SmallIntestine-TerminalIleum
896,Brain-CerebellarHemisphere
897,Brain-FrontalCortex(BA9)
898,Artery-Tibial
899,Brain-Cortex
900,Pancreas
901,Adipose-Subcutaneous
902,Skin-SunExposed(Lowerleg)
903,Brain-Anteriorcingulatecortex(BA24)
904,Esophagus-Mucosa
905,Muscle-Skeletal
906,Esophagus-GastroesophagealJunction
907,Heart-LeftVentricle
908,Skin-NotSunExposed(Suprapubic)
909,Brain-Cerebellum
910,Brain-Anteriorcingulatecortex(BA24)
911,Artery-Coronary
912,Brain-Spinalcord(cervicalc-1)
913,Ovary
914,Lung
915,Brain-CerebellarHemisphere
916,Esophagus-Mucosa
917,Nerve-Tibial
918,Skin-NotSunExposed(Suprapubic)
919,Artery-Aorta
920,Esophagus-GastroesophagealJunction
921,Esophagus-Muscularis
922,Skin-NotSunExposed(Suprapubic)
923,Testis
924,Muscle-Skeletal
925,Lung
926,SmallIntestine-TerminalIleum
927,Skin-NotSunExposed(Suprapubic)
928,Cells-Transformedfibroblasts
929,Muscle-Skeletal
930,WholeBlood
931,Thyroid
932,Esophagus-Mucosa
933,WholeBlood
934,Adipose-Subcutaneous
935,Esophagus-Muscularis
936,Nerve-Tibial
937,Esophagus-GastroesophagealJunction
938,Artery-Tibial
939,Esophagus-Mucosa
940,Lung
941,Skin-NotSunExposed(Suprapubic)
942,Artery-Aorta
943,Muscle-Skeletal
944,WholeBlood
945,Heart-AtrialAppendage
946,Pancreas
947,Cells-Leukemiacellline(CML)
948,Skin-NotSunExposed(Suprapubic)
949,Esophagus-Mucosa
950,Lung
951,WholeBlood
952,Skin-SunExposed(Lowerleg)
953,Lung
954,Esophagus-GastroesophagealJunction
955,Cells-Transformedfibroblasts
956,Esophagus-Muscularis
957,Skin-SunExposed(Lowerleg)
958,Adipose-Visceral(Omentum)
959,Artery-Aorta
960,Brain-FrontalCortex(BA9)
961,Adipose-Subcutaneous
962,Cells-Transformedfibroblasts
963,Adipose-Subcutaneous
964,Colon-Sigmoid
965,Colon-Sigmoid
966,Cells-Transformedfibroblasts
967,AdrenalGland
968,Esophagus-Mucosa
969,Skin-NotSunExposed(Suprapubic)
970,Brain-Hypothalamus
971,Adipose-Visceral(Omentum)
972,Cells-Leukemiacellline(CML)
973,Nerve-Tibial
974,Cells-EBV-transformedlymphocytes
975,Cells-Transformedfibroblasts
976,Esophagus-GastroesophagealJunction
977,Brain-Hippocampus
978,MinorSalivaryGland
979,Brain-Anteriorcingulatecortex(BA24)
980,Brain-Nucleusaccumbens(basalganglia)
981,Nerve-Tibial
982,MinorSalivaryGland
983,Testis
984,Colon-Transverse
985,Artery-Coronary
986,Brain-Substantianigra
987,Stomach
988,Esophagus-Mucosa
989,Cells-Leukemiacellline(CML)
990,Artery-Aorta
991,Esophagus-Mucosa
992,Brain-Cerebellum
993,Adipose-Subcutaneous
994,AdrenalGland
995,Kidney-Cortex
996,WholeBlood
997,Pancreas
998,Skin-SunExposed(Lowerleg)
999,Lung
1000,Heart-LeftVentricle
1001,Cells-Transformedfibroblasts
1002,Liver
1003,Esophagus-GastroesophagealJunction
1004,Ovary
1005,Artery-Tibial
1006,Heart-LeftVentricle
1007,Brain-Caudate(basalganglia)
1008,Artery-Tibial
1009,Brain-Amygdala
1010,Brain-FrontalCortex(BA9)
1011,Nerve-Tibial
1012,Thyroid
1013,Esophagus-Muscularis
1014,AdrenalGland
1015,Lung
1016,Pancreas
1017,Brain-Nucleusaccumbens(basalganglia)
1018,Brain-Putamen(basalganglia)
1019,Breast-MammaryTissue
1020,Skin-SunExposed(Lowerleg)
1021,Brain-FrontalCortex(BA9)
1022,Adipose-Subcutaneous
1023,Thyroid
1024,Brain-Putamen(basalganglia)
1025,Brain-Cerebellum
1026,WholeBlood
1027,Prostate
1028,Colon-Transverse
1029,Esophagus-GastroesophagealJunction
1030,Esophagus-Muscularis
1031,Brain-FrontalCortex(BA9)
1032,Stomach
1033,Colon-Sigmoid
1034,Adipose-Subcutaneous
1035,Muscle-Skeletal
1036,Skin-SunExposed(Lowerleg)
1037,Vagina
1038,Artery-Tibial
1039,Vagina
1040,MinorSalivaryGland
1041,Cells-EBV-transformedlymphocytes
1042,Lung
1043,Liver
1044,Spleen
1045,Lung
1046,Heart-LeftVentricle
1047,Artery-Tibial
1048,Esophagus-Muscularis
1049,Nerve-Tibial
1050,Nerve-Tibial
1051,Cells-Leukemiacellline(CML)
1052,Adipose-Subcutaneous
1053,Skin-SunExposed(Lowerleg)
1054,Cells-Transformedfibroblasts
1055,Thyroid
1056,Cells-Transformedfibroblasts
1057,Muscle-Skeletal
1058,Testis
1059,Colon-Sigmoid
1060,Artery-Tibial
1061,Stomach
1062,Esophagus-Mucosa
1063,Breast-MammaryTissue
1064,Heart-AtrialAppendage
1065,Lung
